experience_level,employment_type,remote_ratio,company_size,job_category,company_sub_region
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
EN,FT,0,M,SW_Engineer,Northern America
EN,FT,0,M,SW_Engineer,Northern America
EN,FT,0,M,SW_Engineer,Northern America
EN,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
EN,FT,0,M,SW_Engineer,Northern America
EN,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Scintist,Northern America
SE,FT,100,M,SW_Engineer,Northern America
SE,FT,100,M,SW_Engineer,Northern America
SE,FT,100,M,Data_Engineer,Northern America
SE,FT,100,M,Data_Engineer,Northern America
MI,FT,0,M,Manager,Northern America
MI,FT,0,M,Manager,Northern America
SE,FT,0,M,Data_Engineer,Northern America
SE,FT,0,M,Data_Engineer,Northern America
SE,FT,100,M,Data_Analyst,Northern America
SE,FT,100,M,Data_Analyst,Northern America
SE,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,Manager,Northern America
MI,FT,0,M,Manager,Northern America
MI,FT,0,M,Other,Northern America
MI,FT,0,M,Other,Northern America
SE,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,ML_Engineer,Northern America
MI,FT,0,M,ML_Engineer,Northern America
SE,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,ML_Engineer,Northern America
MI,FT,0,M,ML_Engineer,Northern America
SE,FT,0,M,ML_Engineer,Northern America
SE,FT,0,M,ML_Engineer,Northern America
MI,FT,0,M,ML_Engineer,Northern America
MI,FT,0,M,ML_Engineer,Northern America
EN,FT,0,M,Data_Analyst,Northern America
EN,FT,0,M,Data_Analyst,Northern America
SE,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,Data_Engineer,Northern America
MI,FT,0,M,Data_Engineer,Northern America
SE,FT,0,M,Data_Engineer,Australia and New Zealand
SE,FT,0,M,Data_Engineer,Australia and New Zealand
MI,FT,100,M,Data_Engineer,Northern America
MI,FT,100,M,Data_Engineer,Northern America
EN,FT,0,M,Data_Engineer,Northern America
EN,FT,0,M,Data_Engineer,Northern America
SE,FT,0,M,Data_Engineer,Southern Europe
SE,FT,0,M,Data_Engineer,Northern America
SE,FT,0,M,Data_Engineer,Northern America
SE,FT,0,M,Data_Engineer,Northern America
SE,FT,0,M,Data_Engineer,Northern America
SE,FT,0,M,Data_Engineer,Northern America
SE,FT,0,M,Data_Engineer,Northern America
SE,FT,0,M,Other,Northern America
SE,FT,0,M,Other,Northern America
SE,FT,0,M,Data_Analyst,Northern America
SE,FT,0,M,Data_Analyst,Northern America
SE,FT,0,M,Data_Analyst,Northern America
SE,FT,0,M,Data_Analyst,Northern America
SE,FT,0,M,Data_Analyst,Southern Europe
EN,FT,0,M,Data_Analyst,Northern America
EN,FT,0,M,Data_Analyst,Northern America
SE,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Scintist,Northern America
EN,FT,0,M,Data_Scintist,Northern America
EN,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Scintist,Northern America
MI,FT,0,M,Data_Scintist,Northern America
MI,FT,0,M,Data_Scintist,Northern America
MI,FT,0,M,Data_Scintist,Northern America
MI,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Scintist,Northern America
MI,FT,0,M,Data_Scintist,Northern America
MI,FT,0,M,Data_Scintist,Northern America
EN,FT,0,M,Data_Scintist,Northern America
EN,FT,0,M,Data_Scintist,Northern America
SE,FT,0,M,Data_Analyst,Northern America
SE,FT,0,M,Data_Analyst,Northern America
SE,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,Manager,Northern America
SE,FT,0,M,Manager,Northern America
EN,FT,0,M,Data_Analyst,Northern America
EN,FT,0,M,Data_Analyst,Northern America
MI,FT,0,M,Other,Northern America
MI,FT,0,M,Other,Northern America
SE,FT,0,M,Manager,Northern America
SE,FT,0,M,Manager,Northern America
SE,FT,0,M,Manager,Northern America
SE,FT,0,M,Manager,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,Data_Analyst,Northern America
MI,FT,0,M,Data_Analyst,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
EN,FT,0,M,Other,Northern America
EN,FT,0,M,Other,Northern America
MI,FT,0,M,Other,Northern America
MI,FT,0,M,Other,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,Other,Northern America
MI,FT,0,M,Other,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
MI,FT,0,M,SW_Engineer,Northern America
SE,FT,0,M,Other,Northern America
SE,FT,0,M,Other,Northern America
MI,FT,0,M,Data_Engineer,Northern America
MI,FT,0,M,Data_Engineer,Northern America
